zipcode,FIPS,CountyName,cbsacode,cbsatitle,metromicro
02770,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02358,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02355,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02351,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02350,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02349,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02348,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02347,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02346,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02359,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02344,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02341,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02339,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02338,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02337,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02333,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02332,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02331,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02330,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02343,25021,Norfolk County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02360,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02361,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02362,25023,Plymouth County,14454,"Boston-Cambridge-Newton, MA-NH",Metro
02458,25017,Middlesex County,15764,"Boston-Cambridge-Newton, MA-NH",Metro
02455,25017,Middlesex County,15764,"Boston-Cambridge-Newton, MA-NH",Metro
02454,25017,Middlesex County,15764,"Boston-Cambridge-Newton, MA-NH",Metro
02453,25017,Middlesex County,15764,"Boston-Cambridge-Newton, MA-NH",Metro
02452,25017,Middlesex County,15764,"Boston-Cambridge-Newton, MA-NH",Metro
02451,25017,Middlesex County,15764,"Boston-Cambridge-Newton, MA-NH",Metro
